Comment,Designator,Footprint,LCSC
DG403,U3,SOIC-16_3.9x9.9mm_P1.27mm,C145284
100n,"C14,C15,C17,C20,C21,C22,C4",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
1u,C16,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
10p,"C10,C11",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1634
MMBT3904,"Q2,Q3,Q4",SOT-23,C20526
1k,"R34,R37,R38",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190
100,"R10,R11,R18,R19,R26,R27,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22775
10,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22859
1M,"R1,R5,R7",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22935
100k,"R15,R16,R17,R21,R33,R35,R36,R39,R40,R41,R6,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25803
10k,"R12,R13,R14,R2,R20,R22,R23,R24,R25,R28,R29,R3,R30,R31,R32",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
CD4070,U5,SOIC-14_3.9x8.7mm_P1.27mm,C28329
OPA1679,"U1,U2",SOIC-14_3.9x8.7mm_P1.27mm,C2878631
MMFTP3401,Q1,SOT-23,C596234
1N4148,D1,D_SOD-323_HandSoldering,C6423741
NE555,U4,SOIC-8_3.9x4.9mm_P1.27mm,C7593
A10k,RV2,V3_TRIM_R0904NB10KL-Keepout,
LED,D6,LED_D5.0mm,
A10k,RV3,V3_TRIM_R0904NB10KL-Keepout,
LED,D7,LED_D5.0mm,
A10k,RV1,V3_TRIM_R0904NB10KL-Keepout,
SW_SPDT,SW1,SPDT.LUGS.PM,
SW_SPDT,SW2,SPDT.LUGS.PM,
LED,D8,LED_D5.0mm,
FLIP,J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
2u2,C19,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
D,D5,D_A-405_P7.62mm_Horizontal,
RPT,J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
10u,C2,CP_Elec_5x5.4,
1u,C24,C_Rect_L7.0mm_W2.5mm_P5.00mm,
100n,C5,C_Rect_L7.0mm_W2.5mm_P5.00mm,
2u2,C18,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
1u,C23,C_Rect_L7.0mm_W2.5mm_P5.00mm,
2u2,C7,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
908140508,J1,CONN_SDA-90814_08_MOL,
2u2,C12,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
D,D2,D_A-405_P7.62mm_Horizontal,
1u,C6,C_Rect_L7.0mm_W4.5mm_P5.00mm,
2u2,C9,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
10u,C3,CP_Elec_5x5.4,
2u2,C13,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
2u2,C8,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
D,D3,D_A-405_P7.62mm_Horizontal,
D,D4,D_A-405_P7.62mm_Horizontal,
100u,C1,CP_Elec_6.3x5.4,
